"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\becomeop.mcfunction", "mcfunction", -4, 0, -1, -1, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\check_startable.mcfunction", "mcfunction", -1, 0, 0, -1, -2
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\matchmaking\attribution\assign_one_player.mcfunction", "mcfunction", -6, 0, 0, 1, -5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\matchmaking\attribution\pick_class.mcfunction", "mcfunction", 3, 0, 0, 0, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\matchmaking\attribution\pick_team.mcfunction", "mcfunction", 1, 0, 0, 0, 1
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\matchmaking\check_enough_players.mcfunction", "mcfunction", -3, 0, -2, -1, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\matchmaking\save_class_and_team.mcfunction", "mcfunction", -21, 0, -4, -3, -28
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\check_game_startable\no_matchmaking.mcfunction", "mcfunction", 1, 0, 1, 3, 5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\class_selector\become_archer.mcfunction", "mcfunction", -8, 0, 3, 1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\class_selector\become_mage.mcfunction", "mcfunction", -8, 0, 3, 1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\class_selector\become_rogue.mcfunction", "mcfunction", -8, 0, 3, 1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\class_selector\become_warrior.mcfunction", "mcfunction", -8, 0, 3, 1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\class_selector\become_archer.mcfunction", "mcfunction", -8, 0, 3, 0, -5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\class_selector\become_mage.mcfunction", "mcfunction", -8, 0, 3, 1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\class_selector\become_random.mcfunction", "mcfunction", -8, 0, 3, 0, -5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\class_selector\become_rogue.mcfunction", "mcfunction", -8, 0, 3, 1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\class_selector\become_warrior.mcfunction", "mcfunction", -8, 0, 3, -1, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\main\join_spectator.mcfunction", "mcfunction", -3, 0, 4, 5, 6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\main\leave_spectator.mcfunction", "mcfunction", -11, 0, 3, -3, -11
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\team_selector\join_blueteam.mcfunction", "mcfunction", -2, 0, 4, 5, 7
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\team_selector\join_randomteam.mcfunction", "mcfunction", -3, 0, 4, 2, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\hotbar_menu\team_selector\join_redteam.mcfunction", "mcfunction", -2, 0, 4, 3, 5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\is_ready.mcfunction", "mcfunction", 16, 0, 3, 17, 36
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\loop.mcfunction", "mcfunction", 12, 0, 4, 6, 22
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\operator\admins_are_op\becomeop.mcfunction", "mcfunction", 6, 0, 3, 2, 11
