"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl7_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl8_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl9_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\anti_spawnkill\anti_spawnkill_blue.mcfunction", "mcfunction", 6, 0, 3, 2, 11
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\anti_spawnkill\anti_spawnkill_red.mcfunction", "mcfunction", 6, 0, 3, 2, 11
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\anti_spawnkill\spawn\enter_own_spawn.mcfunction", "mcfunction", 2, 0, 1, 2, 5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\anti_spawnkill\spawn\leave_own_spawn.mcfunction", "mcfunction", 2, 0, 1, 2, 5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\anti_spawnkill\thunderstorm_inspawn.mcfunction", "mcfunction", 6, 0, 1, 3, 10
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\anti_spawnkill\thunderstorm_inspawn_delayed.mcfunction", "mcfunction", 2, 0, 2, 2, 6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\bossbar\bossbar_actualise.mcfunction", "mcfunction", 22, 0, 12, 14, 48
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\bossbar\objective_decount_timer.mcfunction", "mcfunction", 2, 0, 4, 2, 8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\bossbar\refresh_timer.mcfunction", "mcfunction", 5, 0, 3, 5, 13
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\bossbar\remove_one_minute.mcfunction", "mcfunction", 2, 0, 1, 1, 4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\capflag\cap_blueflag.mcfunction", "mcfunction", 19, 0, 9, 8, 36
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\capflag\cap_redflag.mcfunction", "mcfunction", 19, 0, 9, 9, 37
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\dropflag\dropflag_blueflag.mcfunction", "mcfunction", 54, 0, 12, 12, 78
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\ctf\function\dropflag\dropflag_redflag.mcfunction", "mcfunction", 54, 0, 12, 12, 78
